Source,Compare,Value
fall,fall fall,1.0000001
fall,fall fall,1.0000001
fall,fall fall,1.0000001
fall,fall fall,1.0000001
fall,fall fall,1.0000001
fall,fall fall,1.0000001
kill,kill,1.0
kill,kill,1.0
fall,fall fall,1.0000001
hand,hand,0.9999998999999999
mystery,mystery hate mystery,0.92019767
mystery,mystery hate mystery,0.92019767
world,world,1.0
chance,still chance chance,0.9513273000000001
chance,chance,1.0
power,power,1.0000001
mystery,mystery hate mystery,0.92019767
mystery,mystery hate mystery,0.92019767
chance,still chance chance,0.9513273000000001
chance,chance,1.0
mystery,mystery hate mystery,0.92019767
chance,still chance chance,0.9513273000000001
chance,chance,1.0
mystery,mystery hate mystery,0.92019767
chance,still chance chance,0.9513273000000001
chance,chance,1.0
mystery,mystery hate mystery,0.92019767
mystery,mystery hate mystery,0.92019767
chance,still chance chance,0.9513273000000001
chance,chance,1.0
mystery,mystery hate mystery,0.92019767
chance,still chance chance,0.9513273000000001
chance,chance,1.0
secret,secret,1.0000001
mystery,mystery hate mystery,0.92019767
mystery,mystery hate mystery,0.92019767
chance,still chance chance,0.9513273000000001
chance,chance,1.0
chance,still chance chance,0.9513273000000001
chance,chance,1.0
mystery,mystery hate mystery,0.92019767
chance,still chance chance,0.9513273000000001
chance,chance,1.0
mystery,mystery hate mystery,0.92019767
mystery,mystery hate mystery,0.92019767
mystery,mystery hate mystery,0.92019767
chance,still chance chance,0.9513273000000001
chance,chance,1.0
chance,still chance chance,0.9513273000000001
chance,chance,1.0
mystery,mystery hate mystery,0.92019767
past,past,0.99999976
mystery,mystery hate mystery,0.92019767
deny,deny,1.0
deny,deny,1.0
mystery,mystery hate mystery,0.92019767
mind,mind,0.99999994
mind,mind,0.99999994
mind,mind,0.99999994
mind,mind,0.99999994
result,result,1.0
chance,still chance chance,0.9513273000000001
chance,chance,1.0
mystery,mystery hate mystery,0.92019767
mystery,mystery hate mystery,0.92019767
mystery,mystery hate mystery,0.92019767
mystery,mystery hate mystery,0.92019767
mystery,mystery hate mystery,0.92019767
mystery,mystery hate mystery,0.92019767
mystery,mystery hate mystery,0.92019767
chance,still chance chance,0.9513273000000001
chance,chance,1.0
mistake,mistake,0.9999998999999999
mistake,mistake,0.9999998999999999
guilty,guilty,1.0
end,end,0.9999998999999999
mistake,mistake,0.9999998999999999
dream,dream,1.0
dream,dream,1.0
dream,dream,1.0
end,end,0.9999998999999999
forget,forget,1.0000001
forget,forget,1.0000001
oh,oh,1.0
oh,oh,1.0
oh,oh,1.0
oh,oh,1.0
well,well,0.99999994
well,well,0.99999994
well,well,0.99999994
well,well,0.99999994
well,well,0.99999994
well,well,0.99999994
well,well,0.99999994
well,well,0.99999994
well,well,0.99999994
well,well,0.99999994
well,well,0.99999994
well,well,0.99999994
well,well,0.99999994
good,good,1.0000001
good,good,1.0000001
good,good,1.0000001
good,good,1.0000001
good,good,1.0000001
good,good,1.0000001
good,good,1.0000001
good,good,1.0000001
end,end,0.9999998999999999
oh,oh,1.0
oh,oh,1.0
oh,oh,1.0
oh,oh,1.0
please,please,1.0
ah,ah,0.9999998999999999
ah,ah,0.9999998999999999
ah,ah,0.9999998999999999
ah,ah,0.9999998999999999
ah,ah,0.9999998999999999
ah,ah,0.9999998999999999
ah,ah ah,0.9999998999999999
box,box,1.0
box,box,1.0
box,box,1.0
course,course,1.0000001
course,course,1.0000001
course,course course,1.0000001
donot,donot,0.9999998999999999
donot,donot donot,0.9999998999999999
donot,donot,0.9999998999999999
girl,girl,0.9999998999999999
girl,girl,0.9999998999999999
