Source,Compare,Value,Val Type 2,Val Type 3
a mutiny is threatened by enemies,here was a deserter from the enemy a man with a grievance,0.8142472591945672,0.8122075354190235,0.2
a race war is threatened by rivals,this is war and they are dealing with a foe they are determined to crush out at all hazards,0.804837570994428,0.7995884090430989,0.1111111111111111
a feud is threatened by enemies,here was a deserter from the enemy a man with a grievance,0.8049109088462364,0.8046050610621337,0.2
a feud is threatened by enemies,here was a deserter from the enemy a man with a grievance,0.8049109088462364,0.8046050610621337,0.2
desired power opposed by enemies,possibly the new motive power of the interplanetary has rebelled and is fleeing this way,0.8025768791098417,0.8023568951357105,0.09090909090909093
desired power opposed by enemies,since then our minds have developed in power to an extent that gives us no fear of our traditional enemies,0.8338262373149593,0.8350137557303529,0.18181818181818185
desired power opposed by enemies,perhaps we may be able to exert our power over some of the slaves and the guard,0.8026973697760178,0.7980957991512488,0.1
desired power opposed by suspicion,this threat had the desired result,0.8416816320525289,0.8387424281847784,0.16666666666666666
desired power opposed by suspicion,since then our minds have developed in power to an extent that gives us no fear of our traditional enemies,0.8295304290762103,0.8297677676768609,0.08333333333333333
a race war is threatened by enemies,this is war and they are dealing with a foe they are determined to crush out at all hazards,0.8295999316703075,0.8296926433724195,0.1111111111111111
a race war is threatened by enemies,as baigadd is a more powerful country than ours it would be an act of destruction for us to make war for the stone,0.8083120437058987,0.8106902454432423,0.1
desired power opposed by friends,since then our minds have developed in power to an extent that gives us no fear of our traditional enemies,0.8108163573114466,0.8016266952650705,0.08333333333333333
desired power opposed by distance,in destroying gravity i produce a power equalled by no other force in the world,0.8056038313355048,0.8064536386770073,0.1
a family revolt is threatened by poverty,as reformers you will do your share to preserve our noble country from dire calamities that threaten it,0.8077875537097823,0.8083270314470896,0.09090909090909093
desired fame opposed by danger to life,with fire within and without what chance is there for life liberty and the pursuit of happiness,0.8152520004615088,0.7457918392262177,0.08333333333333333
desired power opposed by danger to life,he may have been laboring under terrible delusions but his resource certainly commanded respect,0.8000827841698698,0.7983993304921265,0.0
desired power opposed by danger to life,these mercurials are possessed of ways and means beyond our earthly powers to combat,0.8052188134631229,0.7962162728659059,0.08333333333333333
desired power opposed by danger to life,this threat had the desired result,0.8372838724216911,0.8330635102302406,0.14285714285714285
desired power opposed by danger to life,since then our minds have developed in power to an extent that gives us no fear of our traditional enemies,0.8494131217147325,0.8500936341351729,0.07692307692307693
desired power opposed by legal procedure,if necessary i can force you to be sensible,0.8239805406737694,0.8103913375325162,0.0
desired liberty opposed by danger to life,with fire within and without what chance is there for life liberty and the pursuit of happiness,0.8519243908060481,0.7969057383735136,0.18181818181818185
desired liberty opposed by danger to life,this threat had the desired result,0.8109770100196402,0.8111464211716827,0.14285714285714285
a race war is threatened by fatal ambition,this is war and they are dealing with a foe they are determined to crush out at all hazards,0.8127883551102603,0.8121637480433237,0.1
