Source,Compare,Value
fall,fall,1.0
fall,fall,1.0
fall,fall fall briber never rise,0.9249332
fall,fall,1.0
fall,fall,1.0
fall,fall fall briber never rise,0.9249332
fall,fall,1.0
fall,fall,1.0
fall,fall fall briber never rise,0.9249332
love courtship plotto love,love,0.93313104
love courtship plotto love,love,0.93313104
fall,fall,1.0
fall,fall,1.0
fall,fall fall briber never rise,0.9249332
fall,fall,1.0
fall,fall,1.0
fall,fall fall briber never rise,0.9249332
fall,fall,1.0
fall,fall,1.0
fall,fall fall briber never rise,0.9249332
kill,kill,1.0
kill,monster kill harran kill osterman kill broderson kill hooven,0.9480738000000001
fall,fall,1.0
fall,fall,1.0
fall,fall fall briber never rise,0.9249332
hand,hand,1.0
hand,place hand together hand hand speak heart hand stephen emma,0.92865497
hand,hand,1.0
hand,hand,1.0
mystery,mystery,0.99999994
mystery,mystery,0.99999994
mystery,mystery,0.99999994
mystery concd,mystery,0.99821305
mystery concd,mystery,0.99821305
mystery concd,mystery,0.99821305
world,world,1.0
indirectly cause danger friend danger,cause danger,0.9268804
chance,chance,0.9999998999999999
chance,chance,0.9999998999999999
chance,chance,0.9999998999999999
money,money money,0.9999998999999999
money,want money,0.9144589
mystery,mystery,0.99999994
mystery,mystery,0.99999994
mystery,mystery,0.99999994
mystery concd,mystery,0.99821305
mystery concd,mystery,0.99821305
mystery concd,mystery,0.99821305
chance,chance,0.9999998999999999
chance,chance,0.9999998999999999
chance,chance,0.9999998999999999
mystery,mystery,0.99999994
mystery,mystery,0.99999994
mystery,mystery,0.99999994
chance,chance,0.9999998999999999
chance,chance,0.9999998999999999
chance,chance,0.9999998999999999
mystery,mystery,0.99999994
mystery,mystery,0.99999994
mystery,mystery,0.99999994
chance,chance,0.9999998999999999
chance,chance,0.9999998999999999
chance,chance,0.9999998999999999
mystery,mystery,0.99999994
mystery,mystery,0.99999994
mystery,mystery,0.99999994
mystery,mystery,0.99999994
mystery,mystery,0.99999994
mystery,mystery,0.99999994
chance,chance,0.9999998999999999
chance,chance,0.9999998999999999
chance,chance,0.9999998999999999
mystery,mystery,0.99999994
mystery,mystery,0.99999994
mystery,mystery,0.99999994
chance,chance,0.9999998999999999
chance,chance,0.9999998999999999
chance,chance,0.9999998999999999
secret,secret,1.0
mystery,mystery,0.99999994
mystery,mystery,0.99999994
mystery,mystery,0.99999994
mystery,mystery,0.99999994
mystery,mystery,0.99999994
mystery,mystery,0.99999994
chance,chance,0.9999998999999999
chance,chance,0.9999998999999999
chance,chance,0.9999998999999999
chance,chance,0.9999998999999999
chance,chance,0.9999998999999999
chance,chance,0.9999998999999999
mystery,mystery,0.99999994
mystery,mystery,0.99999994
mystery,mystery,0.99999994
chance,chance,0.9999998999999999
chance,chance,0.9999998999999999
chance,chance,0.9999998999999999
mystery,mystery,0.99999994
mystery,mystery,0.99999994
mystery,mystery,0.99999994
mystery,mystery,0.99999994
mystery,mystery,0.99999994
mystery,mystery,0.99999994
mystery,mystery,0.99999994
mystery,mystery,0.99999994
mystery,mystery,0.99999994
chance,chance,0.9999998999999999
chance,chance,0.9999998999999999
chance,chance,0.9999998999999999
chance,chance,0.9999998999999999
chance,chance,0.9999998999999999
chance,chance,0.9999998999999999
mystery,mystery,0.99999994
mystery,mystery,0.99999994
mystery,mystery,0.99999994
past,past past,1.0
mystery,mystery,0.99999994
mystery,mystery,0.99999994
mystery,mystery,0.99999994
deny,deny,1.0
mystery,mystery,0.99999994
mystery,mystery,0.99999994
mystery,mystery,0.99999994
mind,mind,1.0
mind,mind stevie,0.9056122999999999
mind,mind,1.0
mind,mind,1.0
result,result,1.0
result,result overproduction,0.97489345
b husband wife estrange,wife,0.9125281
b husband wife estrange,husband,0.92516464
b husband wife estrange,husband,0.92516464
part,part,1.0
chance,chance,0.9999998999999999
chance,chance,0.9999998999999999
chance,chance,0.9999998999999999
mystery,mystery,0.99999994
mystery,mystery,0.99999994
mystery,mystery,0.99999994
mystery,mystery,0.99999994
mystery,mystery,0.99999994
mystery,mystery,0.99999994
mystery,mystery,0.99999994
mystery,mystery,0.99999994
mystery,mystery,0.99999994
b love child ch love husband,love mother,0.90962565
b daughter stepdaughter wife smb,wife,0.9204104
b daughter stepdaughter wife smb,daughter,0.92730826
mystery,mystery,0.99999994
mystery,mystery,0.99999994
mystery,mystery,0.99999994
mystery,mystery,0.99999994
mystery,mystery,0.99999994
mystery,mystery,0.99999994
mystery,mystery,0.99999994
mystery,mystery,0.99999994
mystery,mystery,0.99999994
mystery,mystery,0.99999994
mystery,mystery,0.99999994
mystery,mystery,0.99999994
chance,chance,0.9999998999999999
chance,chance,0.9999998999999999
chance,chance,0.9999998999999999
complication result,result overproduction,0.9012699000000001
mistake,mistake,1.0
mistake,mistake,1.0
mistake,mistake,1.0
mistake,mistake,1.0
end,end end,1.0
end,end,1.0
mistake,mistake,1.0
mistake,mistake,1.0
dream,dream dream,1.0
end,end end,1.0
end,end,1.0
desire save soul love,soul love muse secret desire,0.90364003
fear weakness,fear,0.9125948
fear weakness,fear,0.9125948
forget,forget,0.99999994
forget,forget,0.99999994
laying trap,trap,0.9100822000000001
misrepresentation age,age,0.93485045
wrong address give,well give address,0.9073591000000001
life,life,1.0
life,life,1.0
life,life,1.0
life,life,1.0
oh,oh,1.0000001
oh,oh oh oh terrible,0.94886875
oh,oh,1.0000001
oh,oh oh,1.0000001
oh,oh oh falter,0.93233943
red,red red laugh white,0.94030017
well,well,1.0
well,well,1.0
well,well suppose well,0.9727466
well,well,1.0
well,well,1.0
well,well,1.0
well,well,1.0
well,well,1.0
well,well,1.0
well,well,1.0
well,well,1.0
well,well,1.0
well,well,1.0
well,well,1.0
well,well guess,0.9100111999999999
well,well,1.0
well,well,1.0
well,well,1.0
well,well,1.0
well,well good,0.93292165
well,well,1.0
well,well,1.0
well,well well,1.0
well,well,1.0
well,well,1.0
well,well,1.0
well,well,1.0
jenning didnot feel ever harm anybody,wouldnot anything,0.9000937
woman marry,married woman child,0.9122728000000001
matter much,much bad matter,0.9312715
hold moment longer,moment hold,0.93125707
spring lee rig release strain foot rope foot rope snap taut,foot catch coil rope fall headforemost hold,0.9036388000000001
good,good towser,0.9648793
good,good aquinas,0.9553011
good,good,1.0
good,good,1.0
good,good,1.0
good,good good,1.0
good,well good,0.9623292
good,good,1.0
good,good,1.0
good,good,1.0
good,good,1.0
end,end end,1.0
end,end,1.0
oh,oh,1.0000001
oh,oh oh oh terrible,0.94886875
oh,oh,1.0000001
oh,oh oh,1.0000001
oh,oh oh falter,0.93233943
lean forward place corner stare thin countenance newcomer,vanamee turn lean ascetic face toward black eye fix attentively journal,0.9027472
catch eye,eye snap,0.9166065000000001
sound deibler,pandybat sound,0.99778813
sound deibler,sound obtrusive,0.9285346999999999
ah,ah,0.9999998999999999
ah,ah,0.9999998999999999
ah,ah,0.9999998999999999
ah,ah,0.9999998999999999
ah,ah,0.9999998999999999
oh indeed demur,oh indeed,0.92291105
lip purple cheek waxen eye glassy hair tangle mass black repose head,shock pale hair lie forehead ruffle crest forehead narrow bony thin hooked nose stand closeset prominent eye light inexpressive,0.9086509
lip purple cheek waxen eye glassy hair tangle mass black repose head,neck thick slope shoulder full beautiful curve chin ear flesh white smooth floss satin shade exquisitely faint delicate brown nape root hair,0.90149593
lip purple cheek waxen eye glassy hair tangle mass black repose head,first hilma tree delicious radiant youth thick white neck pale amber shadow chin wide open eye rim fine black lash deep swell breast hip delicate lustrous floss cheek impalpable pollen flower,0.9176851
lip purple cheek waxen eye glassy hair tangle mass black repose head,minna pretty striking even black hair pale face red lip greenishblue eye,0.92521936
lip purple cheek waxen eye glassy hair tangle mass black repose head,bend head kiss upon nape neck delicate amber tint melt thick sweet smell mass dark brown hair,0.904207
lip purple cheek waxen eye glassy hair tangle mass black repose head,either side face threecornere round white forehead hang soft masse hair gold,0.9181196
lip purple cheek waxen eye glassy hair tangle mass black repose head,bathe sunlight face face hair hang two straight plait either side face enchant fulness lip strange balancing movement head upon slender neck,0.9058206
course,course course,1.0
course,course,1.0
course,course course,1.0
refuse anything else,anything else want,0.9354946
manage,manage,1.0
suppose,suppose obtrusive suppose,0.92621386
wouldnot,sure wonot,0.90108186
wouldnot,wonot,0.9434743
wouldnot,wonot,0.9434743
wouldnot,didnot,0.9113872
wouldnot,wonot,0.9434743
wouldnot,wonot,0.9434743
wouldnot,didnot,0.9113872
wouldnot,wonot,0.9434743
wouldnot,guess wonot wonot,0.9503575999999999
ought around,couldnot around,0.9030761999999999
donot,donot mean,0.9348419
donot,donot,0.99999994
donot,oh donot,0.90508723
donot,genslinger donot,0.9877087
donot,donot,0.99999994
donot,donot,0.99999994
donot,didnot,0.9067
donot,donot anything,0.90123326
donot,donot,0.99999994
donot,donot hey,0.9052498
donot,didnot,0.9067
donot,friend donot forget donot,0.9138451999999999
donot,didnot want,0.9037280999999999
donot,donot,0.99999994
donot,donot,0.99999994
