Source,Compare,Value
elderly love youthful b elderly love youthful b seek forward love affair simulate youth,hilma life beautiful young girl pure innocent noble inborn nobility dawn womanhood,0.81815404
fall love romantic b love romantic b pretend hero,love,0.8561770000000001
fall love romantic b love romantic b pretend hero,love,0.8561770000000001
fall love romantic b love romantic b pretend hero,love true,0.8237722
b poor humble romantic acquire unexpectedly small sum money thus finance pretend wealthy aristocratic b poor humble pretend wealthy aristocratic meet rich influential fall love,wealthy,0.80589324
b maid use wardrobe wealthy mistress pretend distinguished personage b poor pretend wealthy aristocratic meet rich influential fall love,wealthy,0.8158097
b love courtship plotto love beginning,pantomime love,0.8228468000000001
b love courtship plotto love beginning,love god love,0.80447316
b love courtship plotto love beginning,love god love,0.80447316
b love courtship plotto love beginning,idle embitter finally argue dispassionate certitude commandment love bid love neighbour amount intensity love love kind love,0.83015954
b love courtship plotto love beginning,love,0.87713814
b love courtship plotto love beginning,love,0.87713814
b love courtship plotto love beginning,love true,0.82278526
plotto love courtship,pantomime love,0.8267747
plotto love courtship,love,0.8361223
plotto love courtship,love,0.8361223
b world inferior person b inferior person fall love superior person apparent love give power bear patiently humble estate,humiliate shame never free wholly however may live whatever virtue perfection may attain,0.8322712
vow proscribe love woman although vow proscribe love woman nevertheless fall love b,poor sinner hold arm dear earthly world whose simple piety perhaps mock counsel try lead right path kind brother love sister mother father love dearly,0.8218223
vow proscribe love woman although vow proscribe love woman nevertheless fall love b,love god love,0.8484983
vow proscribe love woman although vow proscribe love woman nevertheless fall love b,love god love,0.8484983
vow proscribe love woman although vow proscribe love woman nevertheless fall love b,well never sin remain always child god love little child suffer,0.8280011999999999
vow proscribe love woman although vow proscribe love woman nevertheless fall love b,longer disbelieve reality love since god love individual soul divine love eternity,0.8106726
vow proscribe love woman although vow proscribe love woman nevertheless fall love b,idle embitter finally argue dispassionate certitude commandment love bid love neighbour amount intensity love love kind love,0.8437815000000001
vow proscribe love woman although vow proscribe love woman nevertheless fall love b,love mother,0.857258
vow proscribe love woman although vow proscribe love woman nevertheless fall love b,love,0.84927887
vow proscribe love woman although vow proscribe love woman nevertheless fall love b,love,0.84927887
vow proscribe love woman although vow proscribe love woman nevertheless fall love b,love true,0.8067217
fall love b already wife b never love wife consider duty care,well never sin remain always child god love little child suffer,0.81093496
fall love b already wife b never love wife consider duty care,love mother,0.81623256
b suffer fancy love,love suffer suffering always,0.8741116
b desire love never lover feel keenly,pain mother part child exile hearth home friend sunder friend pain anguish must poor soul spurn presence supremely good loving creator call soul existence nothingness sustain life love immeasurable love,0.8049026
b desire love never lover feel keenly,longer disbelieve reality love since god love individual soul divine love eternity,0.80034745
b desire love never lover feel keenly,idle embitter finally argue dispassionate certitude commandment love bid love neighbour amount intensity love love kind love,0.8304120999999999
b humble selfefface worship love alone seem sufficient reward happiness,pain mother part child exile hearth home friend sunder friend pain anguish must poor soul spurn presence supremely good loving creator call soul existence nothingness sustain life love immeasurable love,0.80385906
b humble selfefface worship love alone seem sufficient reward happiness,beautiful live grace life peace virtue forbearance,0.8193071
b humble selfefface worship love alone seem sufficient reward happiness,life grace virtue happiness,0.8133326
b humble selfefface worship love alone seem sufficient reward happiness,longer disbelieve reality love since god love individual soul divine love eternity,0.80688673
b humble selfefface worship love alone seem sufficient reward happiness,humiliate shame never free wholly however may live whatever virtue perfection may attain,0.8168178
b humble selfefface worship love alone seem sufficient reward happiness,piety name face clothe idle tell humble contrite heart may pay far rich tribute devotion ever gift tenfold acceptable elaborate adoration,0.8505783000000001
b humble selfefface worship love alone seem sufficient reward happiness,presley good never die evil die cruelty oppression selfishness die nobility love sacrifice generosity truth thank god small difficult discover live forever eternal,0.8330784999999999
b middleage love belove youth,youth jealous,0.81527996
fall,fall,1.0
fall,fall,1.0
fall,yet fall fall silently instant,0.84296924
fall,fall hard hard feel silent lapse soul instant fall fall yet fall still unfallen fall,0.8465733
fall,darkness fall,0.8276245000000001
fall,fall fall briber never rise,0.9249332
fall,fall knee fall die without word,0.8256916
fall,fall ruin,0.8378593000000001
b love discover narcissus love,love god love,0.8370103999999999
b love discover narcissus love,love neighbour,0.8151752
b love discover narcissus love,love god love,0.8370103999999999
b love discover narcissus love,love mother,0.82291216
b love discover narcissus love,love,0.8965459000000001
b love discover narcissus love,love,0.8965459000000001
b love discover narcissus love,love true,0.84395635
kind humble b consider merely friend amazed learn love,person cranly friend even noble true friend ever,0.80540705
b lover meet tragic escape death b lover escape death tragic believe perish,condemn death whiteboy,0.80952954
really love b although vow prohibit love woman life regret vow,love god love,0.81940645
really love b although vow prohibit love woman life regret vow,love god love,0.81940645
really love b although vow prohibit love woman life regret vow,well never sin remain always child god love little child suffer,0.81311417
really love b although vow prohibit love woman life regret vow,longer disbelieve reality love since god love individual soul divine love eternity,0.8422497
really love b although vow prohibit love woman life regret vow,idle embitter finally argue dispassionate certitude commandment love bid love neighbour amount intensity love love kind love,0.8586273999999999
really love b although vow prohibit love woman life regret vow,love,0.8246846
really love b although vow prohibit love woman life regret vow,love affair,0.8045691999999999
really love b although vow prohibit love woman life regret vow,love,0.8246846
really love b although vow prohibit love woman life regret vow,love true,0.8149380999999999
really love b although vow prohibit love woman life regret vow,presley good never die evil die cruelty oppression selfishness die nobility love sacrifice generosity truth thank god small difficult discover live forever eternal,0.80144435
wrong b woman love secretly craftily retain high place society leave b bear heartache shame alone,poor sinner hold arm dear earthly world whose simple piety perhaps mock counsel try lead right path kind brother love sister mother father love dearly,0.80014414
wrong b woman love secretly craftily retain high place society leave b bear heartache shame alone,well never sin remain always child god love little child suffer,0.82427067
wrong b woman love secretly craftily retain high place society leave b bear heartache shame alone,presley good never die evil die cruelty oppression selfishness die nobility love sacrifice generosity truth thank god small difficult discover live forever eternal,0.81809926
young romantic ruinous old house city street house desert curiosity arouse secretly watch house day beautifully rounded arm small shapely hand emerge behind broken blind place something window sill,cold dark seawall beside father house,0.8083811
young romantic ruinous old house city street house desert curiosity arouse secretly watch house day beautifully rounded arm small shapely hand emerge behind broken blind place something window sill,live clane fellow little cottage woman stand halfdoor cottage child arm car past sallin,0.8017868
young romantic ruinous old house city street house desert curiosity arouse secretly watch house day beautifully rounded arm small shapely hand emerge behind broken blind place something window sill,outside blackrock road lead mountain stand small whitewash house garden grow many rosebush house tell another mercede live,0.8015602
