Source,Compare,Value
fall,fall fall,1.0
fall,fall tumble,0.9453731
fall,fall fall,1.0
fall,fall tumble,0.9453731
fall,fall fall,1.0
fall,fall tumble,0.9453731
love courtship plotto love,love,0.93313104
fall,fall fall,1.0
fall,fall tumble,0.9453731
fall,fall fall,1.0
fall,fall tumble,0.9453731
fall,fall fall,1.0
fall,fall tumble,0.9453731
lose life save plan life fate intervene,save life,0.9093952
rich relative u bequeath million dollar provide shall spend halfmillion within year half million dollar must break within year must give away money spend cent foolishly,hundred dollar pay every cent whipple owe large amount amalgamator earn thirty week thousand way lay meager stipend mere bagatelle young croesus upon devolve pleasant duty spend three thousand dollar day thirty day,0.9129494
rich relative u bequeath million dollar provide shall spend halfmillion within year half million dollar must break within year must give away money spend cent foolishly,must spend hundred thousand dollar month next two month solely pleasure without investment may bring money return measure expectation another hundred thousand dollar put bank draw need living expense,0.9172991
kill,kill,1.0
fall,fall fall,1.0
fall,fall tumble,0.9453731
hand,head hand,0.9047069
hand,hand,1.0
hand,hand touch arm,0.93538237
lose life save,save life save,0.93373185
lose life save,save life,0.93083274
world,world,1.0
chance,still chance chance,0.9471369
chance,chance,0.9999999
power,power,1.0
chance,still chance chance,0.9471369
chance,chance,0.9999999
chance,still chance chance,0.9471369
chance,chance,0.9999999
swindle life save,save life save,0.9021056
swindle life save,save life,0.91233844
chance,still chance chance,0.9471369
chance,chance,0.9999999
chance,still chance chance,0.9471369
chance,chance,0.9999999
chance,still chance chance,0.9471369
chance,chance,0.9999999
secret,secret,1.0
chance,still chance chance,0.9471369
chance,chance,0.9999999
chance,still chance chance,0.9471369
chance,chance,0.9999999
chance,still chance chance,0.9471369
chance,chance,0.9999999
chance,still chance chance,0.9471369
chance,chance,0.9999999
chance,still chance chance,0.9471369
chance,chance,0.9999999
deny,deny,1.0
deny,deny,1.0
mind,mind,1.0
mind,mind,1.0
mind,mind,1.0
mind,mind,1.0
result,result,1.0
later year,eight year ago since,0.9088741
chance,still chance chance,0.9471369
chance,chance,0.9999999
chance,still chance chance,0.9471369
chance,chance,0.9999999
mistake,mistake,1.0
mistake,mistake,1.0
