Source,Compare,Value,Val Type 2,Val Type 3
desire power oppose enemy,since mind develop power extent give fear traditional enemy,0.814493598303149,0.8135816453173871,0.18181818181818185
desire power oppose suspicion,threat desire result,0.8191134332598501,0.8150870774132216,0.16666666666666666
desire power oppose suspicion,since mind develop power extent give fear traditional enemy,0.8000743132776437,0.8000995689360251,0.08333333333333333
desire power oppose danger life,threat desire result,0.8132717399165151,0.8093932034999989,0.14285714285714285
desire power oppose danger life,since mind develop power extent give fear traditional enemy,0.831482266688001,0.8315075343995627,0.07692307692307693
desire liberty oppose danger life,fire within without chance life liberty pursuit happiness,0.8378559076120836,0.7861127068853437,0.18181818181818185
family revolt threaten ignorance,reformer share preserve noble country dire calamity threaten,0.8099653972278044,0.8150927749580683,0.09090909090909093
desire fortune oppose danger life,fire within without chance life liberty pursuit happiness,0.8062928401194001,0.7632643845758078,0.08333333333333333
desire power oppose suspicion,threat desire result,0.8191134332598501,0.8150870774132216,0.16666666666666666
desire power oppose suspicion,since mind develop power extent give fear traditional enemy,0.8000743132776437,0.8000995689360251,0.08333333333333333
desire power oppose mental weakness,slowly physical power fail resolution grow strength diminish,0.8122574119253629,0.7690151218155775,0.08333333333333333
desire power oppose mental weakness,since mind develop power extent give fear traditional enemy,0.816969253373678,0.8169827817584364,0.07692307692307693
desire power oppose physical weakness,slowly physical power fail resolution grow strength diminish,0.8328925136017619,0.7761297877951588,0.18181818181818185
desire power oppose physical weakness,since mind develop power extent give fear traditional enemy,0.8240592959113634,0.8237267270366836,0.07692307692307693
desire power oppose lack influence,mercurial possess way mean beyond earthly power combat,0.8022812448710686,0.7622138582263096,0.08333333333333333
desire power oppose lack influence,since mind develop power extent give fear traditional enemy,0.8352372705349922,0.8281084804152898,0.07692307692307693
desire power oppose lack facility,mercurial possess way mean beyond earthly power combat,0.804155560535506,0.7732734297181115,0.08333333333333333
desire power oppose lack facility,oyd power much mind subtle force fully control perform,0.8014818013406831,0.7761349683504973,0.07692307692307693
desire power oppose lack facility,since mind develop power extent give fear traditional enemy,0.8240768193276686,0.8204532160978619,0.07692307692307693
relief stigma oppose mental weakness,remedy consider remedy useless infliction discomfort mental anguish,0.8066075113306888,0.8066656553404161,0.09090909090909093
desire power oppose lack information,since mind develop power extent give fear traditional enemy,0.8054971819017867,0.7942899328695057,0.07692307692307693
relief injury oppose mental weakness,remedy consider remedy useless infliction discomfort mental anguish,0.8374589331103459,0.8369320106005034,0.09090909090909093
desire position oppose lack influence,therefore subject influence,0.8045180961817321,0.7965097299107132,0.14285714285714285
desire information oppose danger life,threat desire result,0.8081484146663016,0.8107320133606005,0.14285714285714285
desire health oppose mental weakness,merely touch restore mortal health physical moral,0.8271432761745814,0.8277573127946232,0.09090909090909093
desire health oppose mental weakness,need need exercise physical mental,0.8174908963448986,0.8201189006675661,0.125
desire information oppose lack clue,appal information nevertheless prove merely fractional part truth,0.8013922325637489,0.808173596003999,0.08333333333333333
desire approbation oppose danger life,threat desire result,0.8139101788776921,0.8142488293454325,0.14285714285714285
relief sickness oppose mental weakness,remedy consider remedy useless infliction discomfort mental anguish,0.8184404011247477,0.8169222645811467,0.09090909090909093
desire health oppose physical weakness,merely touch restore mortal health physical moral,0.8599948191787267,0.8587699359661863,0.2
desire health oppose physical weakness,need need exercise physical mental,0.8088996618701583,0.8119715586073114,0.125
oblige prevent terrible injustice oppose danger life,must suffer consequence,0.8267483911601482,0.8228927153744016,0.0
desire accomplishment oppose danger life,life ruling race seem life enjoyment,0.8076177669873865,0.8019903597252658,0.1111111111111111
desire accomplishment oppose danger life,never age potentially capable utmost life,0.8009775804007121,0.8035351707221077,0.1
desire information oppose lack influence,therefore subject influence,0.8039294615160366,0.8233738174463621,0.14285714285714285
relief habit oppose mental weakness,remedy consider remedy useless infliction discomfort mental anguish,0.8052318445541192,0.8052744209656922,0.09090909090909093
desire home refuge oppose danger life,must sacrifice yima whatever leave country sacrifice yield life,0.8123161561997163,0.8089359165714276,0.07692307692307693
relief injury oppose physical weakness,remedy consider remedy useless infliction discomfort mental anguish,0.8136701577113887,0.8137522819631843,0.0
oblige prevent terrible injustice oppose suspicion,always suspicion upon cause bolster threat,0.8067413515270189,0.7891003578303853,0.09090909090909093
oblige prevent crime injury oppose danger life,must suffer consequence,0.8117899912430799,0.8136844462076509,0.0
relief injury oppose physical weakness,remedy consider remedy useless infliction discomfort mental anguish,0.8136701577113887,0.8137522819631843,0.0
desire vengeance cause loss valuable oppose physical weakness,threat desire result,0.8020753162809009,0.8047272768951759,0.1
desire vengeance cause loss valuable oppose mental weakness,threat desire result,0.8041486172468321,0.8061018067394851,0.1
desire vengeance cause injury oppose physical weakness,threat desire result,0.8062157236946719,0.8058591499589345,0.1111111111111111
desire vengeance cause loss valuable oppose false accusation,threat desire result,0.8070106871698727,0.8095812633446752,0.1
oblige prevent terrible injustice oppose physical weakness,must suffer consequence,0.8024919485878834,0.8018484758939137,0.0
oblige restore health happiness loved oppose mental weakness,merely touch restore mortal health physical moral,0.851878494003703,0.8493213429628141,0.15384615384615385
desire vengeance cause loss valuable oppose enemy,threat desire result,0.8001648904194095,0.8014106711640357,0.1111111111111111
desire vengeance cause injury oppose lack influence,threat desire result,0.8115221288142058,0.8141647763638516,0.1111111111111111
desire vengeance cause loss valuable oppose danger life,threat desire result,0.8205137581101972,0.8223224782061767,0.1
desire vengeance cause injury oppose suspicion,threat desire result,0.8246999260291948,0.8220245223181246,0.125
desire vengeance cause injury oppose lack facility,threat desire result,0.8106369332546474,0.8129350002564926,0.1111111111111111
desire vengeance insulter oppose danger life,threat desire result,0.8002988651180943,0.8004516080691043,0.125
oblige restore health happiness loved oppose lack information,merely touch restore mortal health physical moral,0.8020894602250719,0.7816040348704186,0.15384615384615385
desire vengeance cause injury oppose false accusation,threat desire result,0.8052451762179279,0.804057976216105,0.1111111111111111
desire vengeance cause loss valuable oppose suspicion,threat desire result,0.8234400160466706,0.8256556740003514,0.1111111111111111
desire vengeance cause injury oppose lack information,threat desire result,0.8262918262212321,0.8282150280945348,0.1111111111111111
desire vengeance cause injury oppose enemy,threat desire result,0.8094129479023423,0.8032895873049543,0.125
desire vengeance cause injury oppose danger life,threat desire result,0.8308446525187615,0.8279978738654131,0.1111111111111111
desire vengeance cause injury oppose danger life,must suffer consequence,0.8190620497043953,0.8155090831277604,0.0
relief imprisonment oppose mental weakness,remedy consider remedy useless infliction discomfort mental anguish,0.802829292773663,0.8029272765424529,0.09090909090909093
oblige restore health happiness loved oppose lack influence,merely touch restore mortal health physical moral,0.8229123458136954,0.8068344121526209,0.15384615384615385
oblige restore health happiness loved oppose physical weakness,merely touch restore mortal health physical moral,0.8794520848236583,0.8740212804768109,0.25
desire vengeance cause loss valuable oppose danger life,threat desire result,0.8205137581101972,0.8223224782061767,0.1
desire vengeance cause injury oppose mental weakness,remedy consider remedy useless infliction discomfort mental anguish,0.8043618927834817,0.8035209727266568,0.07692307692307693
desire vengeance cause injury oppose mental weakness,threat desire result,0.8079777802474309,0.8050816349890727,0.1111111111111111
lover falsely accuse commit crime,girl commit suicide,0.8080065711068914,0.7856505401121071,0.14285714285714285
misunderstanding cause accident,cause accident prevent inevitable result,0.8549464171434656,0.8547987191635252,0.3333333333333333
lover accuse deception identity,meddling betray identity,0.8218529767463933,0.8251730266007758,0.16666666666666666
beloved accuse deception identity,meddling betray identity,0.8463006359255512,0.8481646563429543,0.16666666666666666
remorse threaten result selfdestruction,threat desire result,0.8120474394749915,0.8106115382812241,0.16666666666666666
revenge seek immortal bring loss liberty,may death seek save treasure,0.8243867513766544,0.8067336985908097,0.1
revenge seek immortal bring loss happiness,may death seek save treasure,0.8031459368911197,0.7957385685012446,0.1
revenge seek immortal bring loss life,may death seek save treasure,0.8221592361914316,0.8138550976805549,0.1
innocent person accuse commit robbery,girl commit suicide,0.8196424087297581,0.8086851734873857,0.14285714285714285
innocent person accuse commit murder,girl commit suicide,0.8401795793599071,0.8274798747188755,0.14285714285714285
madness mental derangement threaten loss power,blight fall mental power nyllite dethrone,0.8397708542753183,0.8172084570066911,0.2
madness mental derangement threaten loss power,power mind suffer eclipse,0.8153532355538834,0.8157826601137863,0.1111111111111111
fortune threaten religious revolt,reformer share preserve noble country dire calamity threaten,0.8184536625771737,0.8238396532321293,0.09090909090909093
fortune threaten religious revolt,reformer share preserve noble country dire calamity threaten,0.8184536625771737,0.8238396532321293,0.09090909090909093
permit unrecognized brother commit suicide,girl commit suicide,0.8245905535609653,0.8156103363719575,0.3333333333333333
permit unrecognized daughter commit suicide,girl commit suicide,0.8411476898263721,0.8279881838637742,0.3333333333333333
permit unrecognized love commit suicide,girl commit suicide,0.8117785217504149,0.7990150451267556,0.3333333333333333
permit unrecognized mother commit suicide,girl commit suicide,0.8326949047297924,0.8295239484093768,0.3333333333333333
permit unrecognized sister commit suicide,girl commit suicide,0.8581720660454342,0.8499712689570247,0.3333333333333333
permit unrecognized father commit suicide,girl commit suicide,0.8134141592670076,0.8082629013824736,0.3333333333333333
appear plot ruin character character simply action put supreme test good,give perfect description character past well keep action story move,0.8098181899728283,0.8083752359919878,0.1111111111111111
wherein miscalculation date discover last minute save day,day perhaps forget possibility survive week,0.8281912643665891,0.8240339407952063,0.07692307692307693
wherein enemy attack mistake friend,cowardly pack charge upon defenseless woman dream alone object friend enemy attack,0.8125068496315803,0.7667667402688579,0.21428571428571427
wherein develop character story dual personality,story author first establish highly dramatic situation tell first five line character kill thereby also establish strong thread suspense create mind desire wherefore,0.8317431753113097,0.8397624161149218,0.08
indebtedness stand way,father stand way,0.8112648802533191,0.8515721195657436,0.5
probability identity question,certain question answer order identity may prove beyond peradventure,0.8264793338325606,0.8293999881483975,0.2
necessity determine good intention person,ex clusive aim please waffle thus always sure good term whatever may state feeling toward rest mankind,0.8033665930556477,0.7764854808677099,0.047619047619047616
rival exceed physical power,slowly physical power fail resolution grow strength diminish,0.8049817057716891,0.7108892006452275,0.2
rival exceed physical power,destroy gravity produce power equal force world,0.8083735643269779,0.7920747553707829,0.1
rival exceed physical power,mercurial possess way mean beyond earthly power combat,0.8105722687562112,0.7703164985218903,0.09090909090909093
physical welfare loved endanger,merely touch restore mortal health physical moral,0.8188265677098732,0.8003991231243192,0.1
need verify information,mean give information,0.8493425122464333,0.8569780656828833,0.2
need verify information,instance possible give information detriment prebble,0.8132351707557758,0.8306028104364176,0.125
handicap physical incapacity,need need exercise physical mental,0.8150619679698515,0.8180019768950527,0.16666666666666666
confront possible risk life,reason believe fight friend cover reckless disregard life consequence,0.8066237939871596,0.8080041917269539,0.08333333333333333
possibility deprive valuable property,wonder form property consider valuable mercurial,0.8213111526040541,0.8234308027145268,0.25
need verify truth important message,message usually quite important telegraph portant need concern,0.8306754548814244,0.8429369371077648,0.3
handicap mental problem,need need exercise physical mental,0.8019433072801561,0.8051460672777901,0.16666666666666666
necessity find clue,reason find search,0.8364860429050422,0.8341145498124436,0.2
necessity discover method operation mechanical device,primitive method transportation,0.8120934780602527,0.8139536023580116,0.125
epidemic break aboard ship,danger nearly prebble soon aboard ship flag,0.8092508547485644,0.8350055844242257,0.2222222222222222
masquerade aboard river boat,sneeze landing sneeze boat sneeze river,0.8056602650016479,0.8205367814214347,0.3333333333333333
