Source,Compare,Value
fall,fall,1.0000001
fall,fall,1.0000001
fall,fall,1.0000001
fall,fall,1.0000001
fall,fall,1.0000001
fall,fall,1.0000001
fall,fall,1.0000001
fall,fall,1.0000001
fall,fall,1.0000001
fall,fall,1.0000001
fall,fall,1.0000001
fall,fall,1.0000001
kill,kill,1.0
kill,cry kill kill kill hand,0.93171924
kill,monster kill kill kill kill,0.9794289
fall,fall,1.0000001
fall,fall,1.0000001
hand,hand,0.9999998999999999
hand,hand,0.9999998999999999
hand,hand,0.9999998999999999
mystery,mystery,1.0
mystery,mystery,1.0
mystery,mystery,1.0
mystery,mystery,1.0
mystery,mystery,1.0
mystery,mystery,1.0
revelation,revelation,1.0000001
world,world,1.0
chance,chance,1.0
chance,chance,1.0
chance,chance,1.0
money,money money,1.0
mystery,mystery,1.0
mystery,mystery,1.0
mystery,mystery,1.0
mystery,mystery,1.0
mystery,mystery,1.0
mystery,mystery,1.0
revelation,revelation,1.0000001
chance,chance,1.0
chance,chance,1.0
chance,chance,1.0
mystery,mystery,1.0
mystery,mystery,1.0
mystery,mystery,1.0
chance,chance,1.0
chance,chance,1.0
chance,chance,1.0
mystery,mystery,1.0
mystery,mystery,1.0
mystery,mystery,1.0
revelation,revelation,1.0000001
chance,chance,1.0
chance,chance,1.0
chance,chance,1.0
mystery,mystery,1.0
mystery,mystery,1.0
mystery,mystery,1.0
mystery,mystery,1.0
mystery,mystery,1.0
mystery,mystery,1.0
chance,chance,1.0
chance,chance,1.0
chance,chance,1.0
mystery,mystery,1.0
mystery,mystery,1.0
mystery,mystery,1.0
revelation,revelation,1.0000001
chance,chance,1.0
chance,chance,1.0
chance,chance,1.0
secret,secret,1.0000001
mystery,mystery,1.0
mystery,mystery,1.0
mystery,mystery,1.0
mystery,mystery,1.0
mystery,mystery,1.0
mystery,mystery,1.0
chance,chance,1.0
chance,chance,1.0
chance,chance,1.0
revelation,revelation,1.0000001
revelation,revelation,1.0000001
chance,chance,1.0
chance,chance,1.0
chance,chance,1.0
mystery,mystery,1.0
mystery,mystery,1.0
mystery,mystery,1.0
revelation,revelation,1.0000001
chance,chance,1.0
chance,chance,1.0
chance,chance,1.0
mystery,mystery,1.0
mystery,mystery,1.0
mystery,mystery,1.0
mystery,mystery,1.0
mystery,mystery,1.0
mystery,mystery,1.0
revelation,revelation,1.0000001
mystery,mystery,1.0
mystery,mystery,1.0
mystery,mystery,1.0
chance,chance,1.0
chance,chance,1.0
chance,chance,1.0
chance,chance,1.0
chance,chance,1.0
chance,chance,1.0
mystery,mystery,1.0
mystery,mystery,1.0
mystery,mystery,1.0
past,past past,0.99999976
mystery,mystery,1.0
mystery,mystery,1.0
mystery,mystery,1.0
deny,deny,1.0
revelation,revelation,1.0000001
mystery,mystery,1.0
mystery,mystery,1.0
mystery,mystery,1.0
revelation,revelation,1.0000001
mind,mind,0.99999994
mind,mind,0.99999994
mind,mind,0.99999994
result,result,1.0
part,part,1.0000001
chance,chance,1.0
chance,chance,1.0
chance,chance,1.0
mystery,mystery,1.0
mystery,mystery,1.0
mystery,mystery,1.0
mystery,mystery,1.0
mystery,mystery,1.0
mystery,mystery,1.0
mystery,mystery,1.0
mystery,mystery,1.0
mystery,mystery,1.0
revelation,revelation,1.0000001
mystery,mystery,1.0
mystery,mystery,1.0
mystery,mystery,1.0
mystery,mystery,1.0
mystery,mystery,1.0
mystery,mystery,1.0
mystery,mystery,1.0
mystery,mystery,1.0
mystery,mystery,1.0
mystery,mystery,1.0
mystery,mystery,1.0
mystery,mystery,1.0
chance,chance,1.0
chance,chance,1.0
chance,chance,1.0
mistake,mistake,0.9999998999999999
mistake,mistake,0.9999998999999999
mistake,mistake,0.9999998999999999
mistake,mistake,0.9999998999999999
mistake,mistake,0.9999998999999999
mistake,mistake,0.9999998999999999
end,end end,0.9999998999999999
end,end,0.9999998999999999
mistake,mistake,0.9999998999999999
mistake,mistake,0.9999998999999999
mistake,mistake,0.9999998999999999
dream,dream dream,1.0
end,end end,0.9999998999999999
end,end,0.9999998999999999
forget,forget,1.0000001
forget,forget,1.0000001
life,life,1.0
life,life,1.0
life,life,1.0
life,life,1.0
ride,ride,1.0
oh,oh,1.0
oh,oh,1.0
oh,oh oh oh terrible,0.9571413000000001
oh,oh,1.0
oh,oh oh,1.0
well,well,0.99999994
well,well,0.99999994
well,well,0.99999994
well,well,0.99999994
well,well,0.99999994
well,well,0.99999994
well,well,0.99999994
well,well,0.99999994
well,well,0.99999994
well,well,0.99999994
well,well,0.99999994
well,well,0.99999994
well,well,0.99999994
well,well,0.99999994
well,well,0.99999994
well,well,0.99999994
well,well,0.99999994
well,well,0.99999994
well,well,0.99999994
well,well,0.99999994
well,well well,0.99999994
well,well,0.99999994
well,well,0.99999994
well,well,0.99999994
well,well,0.99999994
ride,ride,1.0
good,good,1.0000001
good,good,1.0000001
good,good,1.0000001
good,good,1.0000001
good,good,1.0000001
good,good,1.0000001
good,good good,1.0000001
good,good,1.0000001
good,good,1.0000001
good,good,1.0000001
good,good,1.0000001
good,good,1.0000001
end,end end,0.9999998999999999
end,end,0.9999998999999999
oh,oh,1.0
oh,oh,1.0
oh,oh oh oh terrible,0.9571413000000001
oh,oh,1.0
oh,oh oh,1.0
sound,sound,1.0
ah,ah,0.9999998999999999
ah,ah,0.9999998999999999
ah,ah,0.9999998999999999
ah,ah,0.9999998999999999
ah,ah,0.9999998999999999
course,course course,1.0000001
course,course,1.0000001
course,course course,1.0000001
refuse anything else,anything else want,0.9045685
manage,manage,0.99999994
donot,donot,0.9999998999999999
donot,donot,0.9999998999999999
donot,donot,0.9999998999999999
donot,donot,0.9999998999999999
donot,donot,0.9999998999999999
donot,donot,0.9999998999999999
donot,donot,0.9999998999999999
donot,donot,0.9999998999999999
donot,donot,0.9999998999999999
donot,donot,0.9999998999999999
donot,donot,0.9999998999999999
hello,hello,1.0
hello,hello,1.0
hello,hello hello exclaim,0.9283504000000001
hello,hello hello something,0.96271676
stop,stop,0.99999994
stop,stop,0.99999994
stop,stop,0.99999994
stop,stop,0.99999994
stop,stop,0.99999994
happy,happy,1.0000001
donot mean,donot mean,0.9999998999999999
speak,speak,0.99999994
speak,speak,0.99999994
speak,speak,0.99999994
speak,speak,0.99999994
speak,speak,0.99999994
speak,speak,0.99999994
speak,speak,0.99999994
stand,stand,0.9999998999999999
free,free,0.99999994
decent,decent,1.0
hell,hell,1.0
hell,hell,1.0
hell,hell,1.0
hell,hell,1.0
hell,hell,1.0
hell,hell,1.0
hell,hell,1.0
hell,hell,1.0
oh,oh,1.0
oh,oh,1.0
oh,oh oh oh terrible,0.9571413000000001
oh,oh,1.0
oh,oh oh,1.0
well,well,0.99999994
well,well,0.99999994
well,well,0.99999994
well,well,0.99999994
well,well,0.99999994
well,well,0.99999994
well,well,0.99999994
well,well,0.99999994
well,well,0.99999994
well,well,0.99999994
well,well,0.99999994
well,well,0.99999994
