Source,Compare,Value
impel unusual motive engage crafty enterprise,actuate abnormal thought process draw tricky endeavor,0.5459138000000001
impel unusual motive engage crafty enterprise,poor love rich privileged b poor love affluent b imagine riches,0.27752414
impel unusual motive engage crafty enterprise,humble birth fall love privileged b humble birth love blue-blooded b imagine high social standing,0.27818200000000004
impel unusual motive engage crafty enterprise,love b discover b consider immaculate bliss b consider darling flawless joy reproduce hardboile character request demonstrate impeccable appear,0.45624572
impel unusual motive engage crafty enterprise,older love young b old love energetic b forward relationship recreate youth,0.31949994
impel unusual motive engage crafty enterprise,convict ban card shark imagine legit request forward relationship b,0.38365358
impel unusual motive engage crafty enterprise,love b dedicate logical interest nothing science imagine draw logical research,0.55581796
impel unusual motive engage crafty enterprise,fall love sentimental b love sentimental b imagine saint,0.19039811
impel unusual motive engage crafty enterprise,squabble sweetheart b dread lose love dread lose love b imagine poison self-destructive expectation,0.31024164
impel unusual motive engage crafty enterprise,poor representative account toss high society poor agent fund toss high society meet affluent aris,0.26357582
poor love wealthy aristocratic b poor love wealthy b pretend wealth,poor love rich privileged b poor love affluent b imagine riches,0.94532657
poor love wealthy aristocratic b poor love wealthy b pretend wealth,humble birth fall love privileged b humble birth love blue-blooded b imagine high social standing,0.7131713000000001
poor love wealthy aristocratic b poor love wealthy b pretend wealth,love b discover b consider immaculate bliss b consider darling flawless joy reproduce hardboile character request demonstrate impeccable appear,0.5662510999999999
poor love wealthy aristocratic b poor love wealthy b pretend wealth,older love young b old love energetic b forward relationship recreate youth,0.7230806
poor love wealthy aristocratic b poor love wealthy b pretend wealth,convict ban card shark imagine legit request forward relationship b,0.2743366
poor love wealthy aristocratic b poor love wealthy b pretend wealth,love b dedicate logical interest nothing science imagine draw logical research,0.3416737
poor love wealthy aristocratic b poor love wealthy b pretend wealth,fall love sentimental b love sentimental b imagine saint,0.766997
poor love wealthy aristocratic b poor love wealthy b pretend wealth,squabble sweetheart b dread lose love dread lose love b imagine poison self-destructive expectation,0.6580121999999999
poor love wealthy aristocratic b poor love wealthy b pretend wealth,poor representative account toss high society poor agent fund toss high society meet affluent aris,0.5285267
humble birth fall love aristocratic b humble birth love aristocratic b pretend high social standing,actuate abnormal thought process draw tricky endeavor,0.1606614
humble birth fall love aristocratic b humble birth love aristocratic b pretend high social standing,poor love rich privileged b poor love affluent b imagine riches,0.7712209
humble birth fall love aristocratic b humble birth love aristocratic b pretend high social standing,humble birth fall love privileged b humble birth love blue-blooded b imagine high social standing,0.96536064
humble birth fall love aristocratic b humble birth love aristocratic b pretend high social standing,love b discover b consider immaculate bliss b consider darling flawless joy reproduce hardboile character request demonstrate impeccable appear,0.6420275
humble birth fall love aristocratic b humble birth love aristocratic b pretend high social standing,older love young b old love energetic b forward relationship recreate youth,0.720831
humble birth fall love aristocratic b humble birth love aristocratic b pretend high social standing,convict ban card shark imagine legit request forward relationship b,0.28203288
humble birth fall love aristocratic b humble birth love aristocratic b pretend high social standing,love b dedicate logical interest nothing science imagine draw logical research,0.45944473
humble birth fall love aristocratic b humble birth love aristocratic b pretend high social standing,fall love sentimental b love sentimental b imagine saint,0.7394437
