Source,Compare,Value,Val Type 2,Val Type 3
desired power opposed by enemies,since then our minds have developed in power to an extent that gives us no fear of our traditional enemies,0.814493598303149,0.8135816453173871,0.18181818181818185
desired power opposed by suspicion,this threat had the desired result,0.8191134332598501,0.8150870774132216,0.16666666666666666
desired power opposed by suspicion,since then our minds have developed in power to an extent that gives us no fear of our traditional enemies,0.8000743132776437,0.8000995689360251,0.08333333333333333
desired power opposed by danger to life,this threat had the desired result,0.8132717399165151,0.8093932034999989,0.14285714285714285
desired power opposed by danger to life,since then our minds have developed in power to an extent that gives us no fear of our traditional enemies,0.831482266688001,0.8315075343995627,0.07692307692307693
desired liberty opposed by danger to life,with fire within and without what chance is there for life liberty and the pursuit of happiness,0.8378559076120836,0.7861127068853437,0.18181818181818185
a family revolt is threatened by ignorance,as reformers you will do your share to preserve our noble country from dire calamities that threaten it,0.8099653972278044,0.8150927749580683,0.09090909090909093
desired fortune opposed by danger to life,with fire within and without what chance is there for life liberty and the pursuit of happiness,0.8062928401194001,0.7632643845758078,0.08333333333333333
desired power opposed by suspicion,this threat had the desired result,0.8191134332598501,0.8150870774132216,0.16666666666666666
desired power opposed by suspicion,since then our minds have developed in power to an extent that gives us no fear of our traditional enemies,0.8000743132776437,0.8000995689360251,0.08333333333333333
desired power opposed by mental weakness,slowly his physical powers were failing but his resolution grew as his strength diminished,0.8122574119253629,0.7690151218155775,0.08333333333333333
desired power opposed by mental weakness,since then our minds have developed in power to an extent that gives us no fear of our traditional enemies,0.816969253373678,0.8169827817584364,0.07692307692307693
desired power opposed by physical weakness,slowly his physical powers were failing but his resolution grew as his strength diminished,0.8328925136017619,0.7761297877951588,0.18181818181818185
desired power opposed by physical weakness,since then our minds have developed in power to an extent that gives us no fear of our traditional enemies,0.8240592959113634,0.8237267270366836,0.07692307692307693
desired power opposed by lack of influence,these mercurials are possessed of ways and means beyond our earthly powers to combat,0.8022812448710686,0.7622138582263096,0.08333333333333333
desired power opposed by lack of influence,since then our minds have developed in power to an extent that gives us no fear of our traditional enemies,0.8352372705349922,0.8281084804152898,0.07692307692307693
desired power opposed by lack of facilities,these mercurials are possessed of ways and means beyond our earthly powers to combat,0.804155560535506,0.7732734297181115,0.08333333333333333
desired power opposed by lack of facilities,the oyd and suboyd powers are much in my mind here we have subtle forces fully controlled and made to perform the will of man,0.8014818013406831,0.7761349683504973,0.07692307692307693
desired power opposed by lack of facilities,since then our minds have developed in power to an extent that gives us no fear of our traditional enemies,0.8240768193276686,0.8204532160978619,0.07692307692307693
relief from stigma opposed by mental weakness,the remedy too you would consider no remedy at all but a useless infliction of discomfort and mental anguish,0.8066075113306888,0.8066656553404161,0.09090909090909093
desired power opposed by lack of information,since then our minds have developed in power to an extent that gives us no fear of our traditional enemies,0.8054971819017867,0.7942899328695057,0.07692307692307693
relief from injury opposed by mental weakness,the remedy too you would consider no remedy at all but a useless infliction of discomfort and mental anguish,0.8374589331103459,0.8369320106005034,0.09090909090909093
desired position opposed by lack of influence,therefore he is not subject to the influence of time,0.8045180961817321,0.7965097299107132,0.14285714285714285
desired information opposed by danger to life,this threat had the desired result,0.8081484146663016,0.8107320133606005,0.14285714285714285
desired health opposed by mental weakness,merely to touch it restores a mortal to health physical and moral,0.8271432761745814,0.8277573127946232,0.09090909090909093
desired health opposed by mental weakness,what you need and all you need is exercise physical and mental,0.8174908963448986,0.8201189006675661,0.125
desired information opposed by lack of clue,appalling as the information was nevertheless it proved merely a fractional part of the truth,0.8013922325637489,0.808173596003999,0.08333333333333333
desired approbation opposed by danger to life,this threat had the desired result,0.8139101788776921,0.8142488293454325,0.14285714285714285
relief from sickness opposed by mental weakness,the remedy too you would consider no remedy at all but a useless infliction of discomfort and mental anguish,0.8184404011247477,0.8169222645811467,0.09090909090909093
desired health opposed by physical weakness,merely to touch it restores a mortal to health physical and moral,0.8599948191787267,0.8587699359661863,0.2
desired health opposed by physical weakness,what you need and all you need is exercise physical and mental,0.8088996618701583,0.8119715586073114,0.125
obliged to prevent a terrible injustice opposed by danger to life,then we must suffer the consequences said i chieerlessly,0.8267483911601482,0.8228927153744016,0.0
desired accomplishment opposed by danger to life,the life of the ruling race seems to be a life of enjoyment,0.8076177669873865,0.8019903597252658,0.1111111111111111
desired accomplishment opposed by danger to life,i never saw a man of your age who was potentially more capable of getting the utmost out of life,0.8009775804007121,0.8035351707221077,0.1
desired information opposed by lack of influence,therefore he is not subject to the influence of time,0.8039294615160366,0.8233738174463621,0.14285714285714285
relief from habit opposed by mental weakness,the remedy too you would consider no remedy at all but a useless infliction of discomfort and mental anguish,0.8052318445541192,0.8052744209656922,0.09090909090909093
desired home or refuge opposed by danger to life,there must be a sacrifice yima whatever i do said if i leave the country i sacrifice you if i yield up my life,0.8123161561997163,0.8089359165714276,0.07692307692307693
relief from injury opposed by physical weakness,the remedy too you would consider no remedy at all but a useless infliction of discomfort and mental anguish,0.8136701577113887,0.8137522819631843,0.0
obliged to prevent a terrible injustice opposed by suspicion,i always look with suspicion upon a cause that is bolstered up with threats,0.8067413515270189,0.7891003578303853,0.09090909090909093
obliged to prevent a crime or injury opposed by danger to life,then we must suffer the consequences said i chieerlessly,0.8117899912430799,0.8136844462076509,0.0
relief from injury opposed by physical weakness,the remedy too you would consider no remedy at all but a useless infliction of discomfort and mental anguish,0.8136701577113887,0.8137522819631843,0.0
desired vengeance against one who has caused loss of valuables opposed by physical weakness,this threat had the desired result,0.8020753162809009,0.8047272768951759,0.1
desired vengeance against one who has caused loss of valuables opposed by mental weakness,this threat had the desired result,0.8041486172468321,0.8061018067394851,0.1
desired vengeance against one who has caused injury opposed by physical weakness,this threat had the desired result,0.8062157236946719,0.8058591499589345,0.1111111111111111
desired vengeance against one who has caused loss of valuables opposed by false accusation,this threat had the desired result,0.8070106871698727,0.8095812633446752,0.1
obliged to prevent a terrible injustice opposed by physical weakness,then we must suffer the consequences said i chieerlessly,0.8024919485878834,0.8018484758939137,0.0
obliged to restore health or happiness to a loved one opposed by mental weakness,merely to touch it restores a mortal to health physical and moral,0.851878494003703,0.8493213429628141,0.15384615384615385
desired vengeance against one who has caused loss of valuables opposed by enemies,this threat had the desired result,0.8001648904194095,0.8014106711640357,0.1111111111111111
desired vengeance against one who has caused injury opposed by lack of influence,this threat had the desired result,0.8115221288142058,0.8141647763638516,0.1111111111111111
desired vengeance against one who has caused loss of valuables opposed by danger to life,this threat had the desired result,0.8205137581101972,0.8223224782061767,0.1
desired vengeance against one who has caused injury opposed by suspicion,this threat had the desired result,0.8246999260291948,0.8220245223181246,0.125
desired vengeance against one who has caused injury opposed by lack of facilities,this threat had the desired result,0.8106369332546474,0.8129350002564926,0.1111111111111111
desired vengeance against an insulter opposed by danger of life,this threat had the desired result,0.8002988651180943,0.8004516080691043,0.125
obliged to restore health or happiness to a loved one opposed by lack information,merely to touch it restores a mortal to health physical and moral,0.8020894602250719,0.7816040348704186,0.15384615384615385
desired vengeance against one who has caused injury opposed by false accusation,this threat had the desired result,0.8052451762179279,0.804057976216105,0.1111111111111111
desired vengeance against one who has caused loss of valuables opposed by suspicion,this threat had the desired result,0.8234400160466706,0.8256556740003514,0.1111111111111111
desired vengeance against one who has caused injury opposed by lack of information,this threat had the desired result,0.8262918262212321,0.8282150280945348,0.1111111111111111
