Source,Compare,Value,Val Type 2,Val Type 3
desire fortune oppose friend,friend enemy generosity prompt,0.810053087800724,0.8222408982418309,0.14285714285714285
desire power oppose enemy,since mind develop power extent give fear traditional enemy,0.8052238667302283,0.8404775006400403,0.18181818181818185
desire power oppose suspicion,threat desire result,0.8133241648260726,0.8381072412533741,0.16666666666666666
desire power oppose suspicion,since mind develop power extent give fear traditional enemy,0.8142826630627084,0.834265282864905,0.08333333333333333
desire power oppose danger life,threat desire result,0.8053413090560404,0.8329381110368534,0.14285714285714285
desire power oppose danger life,since mind develop power extent give fear traditional enemy,0.819398489263729,0.8558545923278192,0.07692307692307693
family revolt threaten ignorance,reformer share preserve noble country dire calamity threaten,0.8242789654971986,0.833748591975253,0.09090909090909093
desire power oppose suspicion,threat desire result,0.8133241648260726,0.8381072412533741,0.16666666666666666
desire power oppose suspicion,since mind develop power extent give fear traditional enemy,0.8142826630627084,0.834265282864905,0.08333333333333333
race war threaten physical suffering,sali declare human undergo awful peril hardship polar discovery without overthrow mental poise,0.8020179081626421,0.8237581769183641,0.0
desire power oppose mental weakness,since mind develop power extent give fear traditional enemy,0.8282395752637902,0.8445855958544971,0.07692307692307693
desire power oppose physical weakness,nature deny power speech yet surmount difficulty,0.801426098896545,0.8298688580627774,0.09090909090909093
desire power oppose physical weakness,since mind develop power extent give fear traditional enemy,0.8402378891805452,0.8514958006494763,0.07692307692307693
desire fortune oppose mental incapacity,mental effort necessary keep enslave chur subjection must enormous,0.8002291592976059,0.8054497404059037,0.07692307692307693
desire power oppose lack influence,since mind develop power extent give fear traditional enemy,0.8599911421066759,0.8564263637605691,0.07692307692307693
desire fortune oppose lack information,however may power give confidence undertaking,0.8038507500282717,0.817531202159195,0.0
desire power oppose lack facility,since mind develop power extent give fear traditional enemy,0.8237680780428581,0.8420276355500542,0.07692307692307693
desire fortune oppose lack influence,since mind develop power extent give fear traditional enemy,0.8105980088458914,0.8098321472043971,0.0
relief stigma oppose mental weakness,remedy consider remedy useless infliction discomfort mental anguish,0.8187539367833189,0.8444723816972666,0.09090909090909093
mutiny threaten physical suffering,sali declare human undergo awful peril hardship polar discovery without overthrow mental poise,0.8163318617331002,0.823271397542334,0.0
desire power oppose lack information,since mind develop power extent give fear traditional enemy,0.8277619245006967,0.8334704882582528,0.07692307692307693
desire fortune oppose physical incapacity,may labor terrible delusion resource certainly command respect,0.8045920356592137,0.8202622704218006,0.0
relief injury oppose mental weakness,remedy consider remedy useless infliction discomfort mental anguish,0.852457821922705,0.8720225239690746,0.09090909090909093
desire position oppose lack influence,therefore subject influence,0.8173361608358461,0.8330308023268337,0.14285714285714285
desire information oppose danger life,threat desire result,0.8125035993119111,0.8385333131783199,0.14285714285714285
desire accomplishment oppose suspicion,threat desire result,0.8014350724298226,0.8223334672393087,0.16666666666666666
desire health oppose mental weakness,merely touch restore mortal health physical moral,0.8395265388698643,0.8553166175435095,0.09090909090909093
desire health oppose mental weakness,need need exercise physical mental,0.8313984820467741,0.8477053861719996,0.125
revolution threaten physical suffering,sali declare human undergo awful peril hardship polar discovery without overthrow mental poise,0.8117387116010932,0.8245590514751768,0.0
desire information oppose lack clue,appal information nevertheless prove merely fractional part truth,0.8177288983799611,0.8373158828397145,0.08333333333333333
desire information oppose lack clue,instance possible give information detriment prebble,0.8213911572521175,0.8402747464543682,0.1
desire approbation oppose danger life,threat desire result,0.8130479987857959,0.8387458264770664,0.14285714285714285
relief sickness oppose mental weakness,remedy consider remedy useless infliction discomfort mental anguish,0.8331950367418338,0.8572335132020228,0.09090909090909093
desire health oppose physical weakness,merely touch restore mortal health physical moral,0.8710778849699101,0.8824765509136995,0.2
desire health oppose physical weakness,need need exercise physical mental,0.8244569940137224,0.8406982694771689,0.125
race war threaten duty love,war father war bringing,0.8020372942589057,0.7900965677466473,0.14285714285714285
revolution threaten physical suffering,sali declare human undergo awful peril hardship polar discovery without overthrow mental poise,0.8117387116010932,0.8245590514751768,0.0
oblige prevent terrible injustice oppose danger life,must suffer consequence,0.8196979536620284,0.8480952539553646,0.0
desire accomplishment oppose lack facility,allow work ardor theatrical way purpose accomplish without violence,0.8040846915466232,0.8108407702768264,0.0
desire accomplishment oppose danger life,life ruling race seem life enjoyment,0.8077244672764001,0.8405206084708546,0.1111111111111111
desire information oppose lack influence,since mind develop power extent give fear traditional enemy,0.8137547074617196,0.8017459896743913,0.0
desire information oppose lack influence,therefore subject influence,0.8450792567027102,0.8569775084410991,0.14285714285714285
relief habit oppose mental weakness,remedy consider remedy useless infliction discomfort mental anguish,0.8135415930512093,0.8402380911103207,0.09090909090909093
relief stigma oppose physical weakness,remedy consider remedy useless infliction discomfort mental anguish,0.8094415113185645,0.8359595405046935,0.0
relief sickness oppose physical weakness,remedy consider remedy useless infliction discomfort mental anguish,0.8231307718893249,0.8481589487840936,0.0
family revolt threaten unjust discrimination,reformer share preserve noble country dire calamity threaten,0.8067773226106366,0.8153387157591974,0.08333333333333333
rebellion threaten physical suffering,sali declare human undergo awful peril hardship polar discovery without overthrow mental poise,0.8086546952513272,0.8190121859511122,0.0
desire accomplishment oppose physical weakness,nature deny power speech yet surmount difficulty,0.8059518018120884,0.8231503128940431,0.0
desire accomplishment oppose physical weakness,merely touch restore mortal health physical moral,0.8053635211186831,0.8257472384775211,0.09090909090909093
relief imprisonment oppose physical weakness,remedy consider remedy useless infliction discomfort mental anguish,0.8174751056756646,0.8394475125553009,0.0
relief oppression oppose mental weakness,remedy consider remedy useless infliction discomfort mental anguish,0.8006775845984041,0.8264643217172241,0.09090909090909093
relief injury oppose physical weakness,remedy consider remedy useless infliction discomfort mental anguish,0.8409621496145042,0.8615162498676784,0.0
desire accomplishment oppose lack influence,since mind develop power extent give fear traditional enemy,0.8138306676452571,0.7993157782635508,0.0
relief unjust accusation oppose physical weakness,remedy consider remedy useless infliction discomfort mental anguish,0.8070355204490502,0.8198499955022077,0.0
oblige prevent terrible injustice oppose mental weakness,remedy consider remedy useless infliction discomfort mental anguish,0.8009520812968194,0.8274013830457956,0.07692307692307693
relief imprisonment oppose physical weakness,remedy consider remedy useless infliction discomfort mental anguish,0.8174751056756646,0.8394475125553009,0.0
oblige prevent crime injury oppose danger life,must suffer consequence,0.8180238194177549,0.8449531160340245,0.0
oblige prevent crime injury oppose legal procedure,detection crime easy matter testimony indexograph alone justice mete without intermediate application court,0.8198359679294096,0.8286786139146708,0.05263157894736842
desire vengeance cheater oppose lack facility,allow work ardor theatrical way purpose accomplish without violence,0.8022753519738022,0.8069854107916746,0.0
desire vengeance race nation clan oppose lack information,grant brute subject ruling race real lord country authority appeal,0.8210303026113227,0.8381912692051617,0.05882352941176471
relief injury oppose physical weakness,remedy consider remedy useless infliction discomfort mental anguish,0.8409621496145042,0.8615162498676784,0.0
desire vengeance cause injury oppose poverty,threat desire result,0.8003102305152601,0.8243437583581297,0.125
desire vengeance cause injury oppose poverty,must suffer consequence,0.8161430453120714,0.8390640396343287,0.0
desire vengeance damage good name oppose legal procedure,love war however mean suppose fair endeavor apply principle present case,0.8055514894175831,0.8281701539758437,0.0
oblige restore health happiness loved oppose lack facility,merely touch restore mortal health physical moral,0.8096491043369166,0.8218309841188128,0.15384615384615385
desire vengeance cause loss valuable oppose mental weakness,threat desire result,0.8071223764130205,0.8332654304562496,0.1
desire vengeance cause injury oppose physical weakness,remedy consider remedy useless infliction discomfort mental anguish,0.8022692736808419,0.8281779173317495,0.0
desire vengeance cause injury oppose physical weakness,threat desire result,0.8103558320401921,0.8341566343085971,0.1111111111111111
desire vengeance cause injury oppose physical weakness,must suffer consequence,0.8027877498576562,0.8288623806093759,0.0
desire vengeance cause injury oppose legal procedure,threat desire result,0.8090315074982396,0.8315785116483351,0.1111111111111111
desire vengeance cause loss valuable oppose false accusation,threat desire result,0.8066950405216303,0.8328197084294237,0.1
desire vengeance race nation clan oppose legal procedure,grant brute subject ruling race real lord country authority appeal,0.809767027448667,0.8267879581896148,0.05882352941176471
